2019-10-13 16:00:45 [INFO] pandownload version: 2.1.3
2019-10-13 16:00:47 [INFO] aria2 websocket connection opened (127.0.0.1:36817)
2019-10-13 16:00:47 [INFO] aria2 version: 1.34.0
2019-10-13 16:00:47 [INFO] aria2 json-rpc path: http://token:pandownload@127.0.0.1:36817/jsonrpc
2019-10-13 16:00:51 [INFO] create main window
2019-10-13 16:00:51 [INFO] verify cookie (635)
2019-10-13 16:00:53 [INFO] user login success (3694736204): 满载的菠萝
2019-10-13 16:02:29 [WARN] aria2.removeDownloadResult error (1): Could not remove download result of GID#cf1d1b66b018084c
2019-10-13 16:02:29 [WARN] aria2.removeDownloadResult error (1): Could not remove download result of GID#9cf39e58580e6c7b
2019-10-13 16:02:29 [WARN] aria2.removeDownloadResult error (1): Could not remove download result of GID#091eaa2f3662c244
2019-10-13 19:20:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:20:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:20:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:21:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:21:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:21:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:22:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:22:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:22:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:23:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:23:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:23:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:24:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:24:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:24:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:25:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:25:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:25:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:26:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:26:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:26:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:27:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:27:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:27:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:28:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:28:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:28:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:29:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:29:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:29:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:30:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:30:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:30:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:31:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:31:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:31:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:32:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:32:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:32:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:33:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:33:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:33:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:34:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:34:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:34:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:35:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:35:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:35:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:36:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:36:30 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:36:50 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
2019-10-13 19:37:10 [WARN] request error (0x100000006): https://pan.baidu.com/api/quota 
